,Country Name,Country Code,Indicator Name,Indicator Code,variable,value
0,Aruba,ABW,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
1,Africa Eastern and Southern,AFE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
2,Afghanistan,AFG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
3,Africa Western and Central,AFW,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
4,Angola,AGO,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
5,Albania,ALB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
6,Andorra,AND,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
7,Arab World,ARB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
8,United Arab Emirates,ARE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,5055801.0
9,Argentina,ARG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1144834.0
10,Armenia,ARM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
11,American Samoa,ASM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
12,Antigua and Barbuda,ATG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
13,Australia,AUS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,3542802.0
14,Austria,AUT,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
15,Azerbaijan,AZE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
16,Burundi,BDI,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
17,Belgium,BEL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,5057579.0
18,Benin,BEN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
19,Burkina Faso,BFA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
20,Bangladesh,BGD,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,456007.0
21,Bulgaria,BGR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
22,Bahrain,BHR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
23,"Bahamas, The",BHS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
24,Bosnia and Herzegovina,BIH,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
25,Belarus,BLR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
26,Belize,BLZ,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
27,Bermuda,BMU,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
28,Bolivia,BOL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
29,Brazil,BRA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,2413098.0
30,Barbados,BRB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
31,Brunei Darussalam,BRN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
32,Bhutan,BTN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
33,Botswana,BWA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
34,Central African Republic,CAF,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
35,Canada,CAN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,2927942.0
36,Central Europe and the Baltics,CEB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
37,Switzerland,CHE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
38,Channel Islands,CHI,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
39,Chile,CHL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1253131.0
40,China,CHN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,41000000.0
41,Cote d'Ivoire,CIV,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,434422.0
42,Cameroon,CMR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
43,"Congo, Dem. Rep.",COD,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
44,"Congo, Rep.",COG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
45,Colombia,COL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,791588.0
46,Comoros,COM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
47,Cabo Verde,CPV,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
48,Costa Rica,CRI,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,573502.0
49,Caribbean small states,CSS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
50,Cuba,CUB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
51,Curacao,CUW,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
52,Cayman Islands,CYM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
53,Cyprus,CYP,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
54,Czechia,CZE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
55,Germany,DEU,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,7695688.0
56,Djibouti,DJI,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
57,Dominica,DMA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
58,Denmark,DNK,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,568660.0
59,Dominican Republic,DOM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,566479.0
60,Algeria,DZA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,267530.0
61,East Asia & Pacific (excluding high income),EAP,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,56840499.0
62,Early-demographic dividend,EAR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,24653677.0
63,East Asia & Pacific,EAS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,111180913.0
64,Europe & Central Asia (excluding high income),ECA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
65,Europe & Central Asia,ECS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,48312150.0
66,Ecuador,ECU,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,414104.0
67,"Egypt, Arab Rep.",EGY,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1625601.0
68,Euro area,EMU,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,39598836.0
69,Eritrea,ERI,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
70,Spain,ESP,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,5789693.0
71,Estonia,EST,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
72,Ethiopia,ETH,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
73,European Union,EUU,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,41051632.0
74,Fragile and conflict affected situations,FCS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
75,Finland,FIN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,928318.0
76,Fiji,FJI,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
77,France,FRA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,2923190.0
78,Faroe Islands,FRO,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
79,"Micronesia, Fed. Sts.",FSM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
80,Gabon,GAB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
81,United Kingdom,GBR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,6434734.0
82,Georgia,GEO,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
83,Ghana,GHA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
84,Gibraltar,GIB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
85,Guinea,GIN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
86,"Gambia, The",GMB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
87,Guinea-Bissau,GNB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
88,Equatorial Guinea,GNQ,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
89,Greece,GRC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1390844.0
90,Grenada,GRD,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
91,Greenland,GRL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
92,Guatemala,GTM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,495809.0
93,Guam,GUM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
94,Guyana,GUY,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
95,High income,HIC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,146625900.0
96,"Hong Kong SAR, China",HKG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
97,Honduras,HND,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,392837.0
98,Heavily indebted poor countries (HIPC),HPC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
99,Croatia,HRV,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,14153.0
100,Haiti,HTI,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
101,Hungary,HUN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
102,IBRD only,IBD,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,78803790.0
103,IDA & IBRD total,IBT,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,82068088.0
104,IDA total,IDA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
105,IDA blend,IDB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
106,Indonesia,IDN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,3797948.0
107,IDA only,IDX,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
108,Isle of Man,IMN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
109,India,IND,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,2450656.0
110,Not classified,INX,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
111,Ireland,IRL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,721395.0
112,"Iran, Islamic Rep.",IRN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
113,Iraq,IRQ,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
114,Iceland,ISL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
115,Israel,ISR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
116,Italy,ITA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,6918588.0
117,Jamaica,JAM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,765977.0
118,Jordan,JOR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
119,Japan,JPN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,13100000.0
120,Kazakhstan,KAZ,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
121,Kenya,KEN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
122,Kyrgyz Republic,KGZ,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
123,Cambodia,KHM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
124,Kiribati,KIR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
125,St. Kitts and Nevis,KNA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
126,"Korea, Rep.",KOR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,9030174.0
127,Kuwait,KWT,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
128,Latin America & Caribbean (excluding high income),LAC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,9334560.0
129,Lao PDR,LAO,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
130,Lebanon,LBN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
131,Liberia,LBR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
132,Libya,LBY,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
133,St. Lucia,LCA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
134,Latin America & Caribbean,LCN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,15860053.0
135,Least developed countries: UN classification,LDC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
136,Low income,LIC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
137,Liechtenstein,LIE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
138,Sri Lanka,LKA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1732855.0
139,Lower middle income,LMC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,11910060.0
140,Low & middle income,LMY,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,77474078.0
141,Lesotho,LSO,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
142,Late-demographic dividend,LTE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,67353110.0
143,Lithuania,LTU,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
144,Luxembourg,LUX,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
145,Latvia,LVA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
146,"Macao SAR, China",MAC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
147,St. Martin (French part),MAF,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
148,Morocco,MAR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,328808.0
149,Monaco,MCO,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
150,Moldova,MDA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
151,Madagascar,MDG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
152,Maldives,MDV,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
153,Middle East & North Africa,MEA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
154,Mexico,MEX,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1315701.0
155,Marshall Islands,MHL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
156,Middle income,MIC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,77225901.0
157,North Macedonia,MKD,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
158,Mali,MLI,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
159,Malta,MLT,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1082235.0
160,Myanmar,MMR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
161,Middle East & North Africa (excluding high income),MNA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
162,Montenegro,MNE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
163,Mongolia,MNG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
164,Northern Mariana Islands,MNP,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
165,Mozambique,MOZ,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
166,Mauritania,MRT,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
167,Mauritius,MUS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
168,Malawi,MWI,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
169,Malaysia,MYS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,4642428.0
170,North America,NAC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,31227942.0
171,Namibia,NAM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
172,New Caledonia,NCL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
173,Niger,NER,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
174,Nigeria,NGA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
175,Nicaragua,NIC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
176,Netherlands,NLD,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,6407162.0
177,Norway,NOR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
178,Nepal,NPL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
179,Nauru,NRU,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
180,New Zealand,NZL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1067438.0
181,OECD members,OED,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,109883995.0
182,Oman,OMN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1161549.0
183,Other small states,OSS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
184,Pakistan,PAK,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
185,Panama,PAN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,2369681.0
186,Peru,PER,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,460631.0
187,Philippines,PHL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,3031548.0
188,Palau,PLW,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
189,Papua New Guinea,PNG,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
190,Poland,POL,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
191,Pre-demographic dividend,PRE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
192,Puerto Rico,PRI,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1945636.0
193,"Korea, Dem. People's Rep.",PRK,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
194,Portugal,PRT,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,669991.0
195,Paraguay,PRY,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
196,West Bank and Gaza,PSE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
197,Pacific island small states,PSS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
198,Post-demographic dividend,PST,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,121833327.0
199,French Polynesia,PYF,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
200,Qatar,QAT,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
201,Romania,ROU,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
202,Russian Federation,RUS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,316280.0
203,Rwanda,RWA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
204,South Asia,SAS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,4639518.0
205,Saudi Arabia,SAU,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1502893.0
206,Sudan,SDN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
207,Senegal,SEN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
208,Singapore,SGP,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,17100000.0
209,Solomon Islands,SLB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
210,Sierra Leone,SLE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
211,El Salvador,SLV,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
212,San Marino,SMR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
213,Somalia,SOM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
214,Serbia,SRB,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
215,Sub-Saharan Africa (excluding high income),SSA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
216,South Sudan,SSD,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
217,Sub-Saharan Africa,SSF,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
218,Small states,SST,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
219,Sao Tome and Principe,STP,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
220,Suriname,SUR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
221,Slovak Republic,SVK,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
222,Slovenia,SVN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
223,Sweden,SWE,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,884136.0
224,Eswatini,SWZ,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
225,Sint Maarten (Dutch part),SXM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
226,Seychelles,SYC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
227,Syrian Arab Republic,SYR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
228,Turks and Caicos Islands,TCA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
229,Chad,TCD,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
230,East Asia & Pacific (IDA & IBRD countries),TEA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,56840499.0
231,Europe & Central Asia (IDA & IBRD countries),TEC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
232,Togo,TGO,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
233,Thailand,THA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,3178779.0
234,Tajikistan,TJK,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
235,Turkmenistan,TKM,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
236,Latin America & the Caribbean (IDA & IBRD countries),TLA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,13914417.0
237,Timor-Leste,TLS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
238,Middle East & North Africa (IDA & IBRD countries),TMN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
239,Tonga,TON,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
240,South Asia (IDA & IBRD),TSA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,4639518.0
241,Sub-Saharan Africa (IDA & IBRD countries),TSS,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
242,Trinidad and Tobago,TTO,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,282487.0
243,Tunisia,TUN,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
244,Turkiye,TUR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,1591739.0
245,Tuvalu,TUV,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
246,Tanzania,TZA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
247,Uganda,UGA,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
248,Ukraine,UKR,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
249,Upper middle income,UMC,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,65315841.0
250,Uruguay,URY,Container port traffic (TEU: 20 foot equivalent units),IS.SHP.GOOD.TU,2000,
